Country,State,Locality,Latitude,Longitude,Species,Nota
Mexico,Morelos,Cuernavaca,18.924207,-99.22156,Libellula saturata,
Mexico,Morelos,Cuernavaca,18.924207,-99.22156,Pseudoleon superbus,
Mexico,Morelos,Cuernavaca,18.924207,-99.22156,Orthemis ferruginea,
Mexico,Morelos,Cuernavaca,18.924207,-99.22156,Erythrodiplax basifusca,
Mexico,Morelos,Cuernavaca,18.924207,-99.22156,Erythrodiplax basifusca,
Mexico,Morelos,Cuernavaca,18.924207,-99.22156,Brechmorhoga praecox,
Mexico,Morelos,Cuernavaca,18.924207,-99.22156,Brechmorhoga pertinax,
Mexico,Morelos,Cuernavaca,18.924207,-99.22156,Paltothemis lineatipes,
Mexico,Morelos,Cuernavaca,18.924207,-99.22156,Tramea onusta,
Mexico,Morelos,Cuernavaca,18.924207,-99.22156,Perithemis intensa,
Mexico,Morelos,Cuernavaca,18.924207,-99.22156,Sympetrum illotum,
Mexico,Morelos,Cuernavaca,18.924207,-99.22156,Sympetrum corruptum,
Mexico,Morelos,Cuernavaca,18.924207,-99.22156,Argia tonto,
Mexico,Morelos,Cuernavaca,18.924207,-99.22156,Brechmorhoga tepeaca,
Mexico,Veracruz,Cuesta de Misantla,19.793194,-96.852534,Pseudostigma aberrans,
Mexico,Veracruz,Cuesta de Misantla,19.793194,-96.852534,Paraphlebia zoe,
Mexico,Nuevo Leon,Diente,25.571469,-100.313761,Argia cuprea,
Mexico,Nuevo Leon,Diente,25.571469,-100.313761,Argia fissa,
Mexico,Nuevo Leon,Diente,25.571469,-100.313761,Argia vivida,
Mexico,Nuevo Leon,Diente,25.571469,-100.313761,Argia immunda,
Mexico,Nuevo Leon,Diente,25.571469,-100.313761,Archilestes grandis,
Mexico,Guerrero,Dos Arroyos,17.021112,-99.64861,Telebasis salva,
Mexico,Guerrero,Dos Arroyos,17.021112,-99.64861,Protoneura cara,
Mexico,Guerrero,Dos Arroyos,17.021112,-99.64861,Phyllogomphoides pacificus,
Mexico,Guerrero,Dos Arroyos,17.021112,-99.64861,Erpetogomphus viperinus,
Mexico,Guerrero,Dos Arroyos,17.021112,-99.64861,Pseudoleon superbus,
Mexico,Guerrero,Dos Arroyos,17.021112,-99.64861,Macrothemis inequiunguis,
Mexico,Guerrero,Dos Arroyos,17.021112,-99.64861,Erythemis plebeja,
Mexico,Guerrero,Dos Arroyos,17.021112,-99.64861,Hetaerina occisa,
Mexico,Guerrero,Dos Arroyos,17.021112,-99.64861,Argia tezpi,
Mexico,Guerrero,Dos Arroyos,17.021112,-99.64861,Argia oculata,
Mexico,Hidalgo,Dublan,30.448711,-107.906993,Hetaerina vulnerata,
Mexico,Hidalgo,Dublan,30.448711,-107.906993,Argia lugens,
Mexico,Durango,Durango,24.028216,-104.653181,Hetaerina americana,
Mexico,Durango,Durango,24.028216,-104.653181,Hesperagrion heterodoxum,
Mexico,Durango,Durango,24.028216,-104.653181,Enallagma praevarum,
Mexico,Durango,Durango,24.028216,-104.653181,Telebasis salva,
Mexico,Durango,Durango,24.028216,-104.653181,Ischnura denticollis,
Mexico,Durango,Durango,24.028216,-104.653181,Ischnura demorsa,
Mexico,Durango,Durango,24.028216,-104.653181,Erpetogomphus crotalinus,
Mexico,Durango,Durango,24.028216,-104.653181,Libellula saturata,
Mexico,Durango,Durango,24.028216,-104.653181,Perithemis intensa,
Mexico,Sinaloa,Escuinapa,22.831774,-105.779133,Orthemis ferruginea,
Mexico,Sinaloa,Escuinapa,22.831774,-105.779133,Erythrodiplax funerea,
Mexico,Sinaloa,Escuinapa,22.831774,-105.779133,Dythemis velox,
Mexico,Sinaloa,Escuinapa,22.831774,-105.779133,Hetaerina americana,
Mexico,Sinaloa,Escuinapa,22.831774,-105.779133,Enallagma civile,
Mexico,Sinaloa,Escuinapa,22.831774,-105.779133,Enallagma praevarum,
Mexico,Sinaloa,Escuinapa,22.831774,-105.779133,Ischnura demorsa,
Mexico,Distrito Federal,Eslava,19.286415,-99.241563,Lestes alacer,
Mexico,Distrito Federal,Eslava,19.286415,-99.241563,Sympetrum illotum,
Mexico,Tabasco,Frontera,18.533393,-92.64606,Lestes forficula,
Mexico,Tabasco,Frontera,18.533393,-92.64606,Telebasis digiticollis,
Mexico,Tabasco,Frontera,18.533393,-92.64606,Ischnura hastata,
Mexico,Tabasco,Frontera,18.533393,-92.64606,Libellula auripennis,
Mexico,Tabasco,Frontera,18.533393,-92.64606,Micrathyria didyma,
Mexico,Tabasco,Frontera,18.533393,-92.64606,Micrathyria debilis,
Mexico,Tabasco,Frontera,18.533393,-92.64606,Orthemis ferruginea,
Mexico,Tabasco,Frontera,18.533393,-92.64606,Cannaphila insularis,
Mexico,Tabasco,Frontera,18.533393,-92.64606,Erythrodiplax umbrata,
Mexico,Tabasco,Frontera,18.533393,-92.64606,Erythrodiplax fervida,
Mexico,Tabasco,Frontera,18.533393,-92.64606,Miathyria marcella,
Mexico,Tabasco,Frontera,18.533393,-92.64606,Pantala flavescens,
Mexico,Tabasco,Frontera,18.533393,-92.64606,Erythemis peruviana,
Mexico,Tabasco,Frontera,18.533393,-92.64606,Erythemis attala,
Mexico,Tabasco,Frontera,18.533393,-92.64606,Erythemis plebeja,
Mexico,Tabasco,Frontera,18.533393,-92.64606,Hetaerina cruentata,
Mexico,Tabasco,Frontera,18.533393,-92.64606,Hetaerina titia,
Mexico,Tabasco,Frontera,18.533393,-92.64606,Archilestes grandis,
Mexico,Coahuila,Fuente,25.424864,-100.951396,Pantala flavescens,
Mexico,Coahuila,Fuente,25.424864,-100.951396,Perithemis intensa,
Mexico,Coahuila,Fuente,25.424864,-100.951396,Enallagma semicirculare,
Mexico,Coahuila,Fuente,25.424864,-100.951396,Phyllocycla elongata,
Mexico,Coahuila,Fuente,25.424864,-100.951396,Erythrodiplax funerea,
Mexico,Jalisco,Guadalajara,20.65048,-103.326994,Argia pallens,
Mexico,Jalisco,Guadalajara,20.65048,-103.326994,Argia nahuana,
Mexico,Jalisco,Guadalajara,20.65048,-103.326994,Enallagma praevarum,
Mexico,Jalisco,Guadalajara,20.65048,-103.326994,Telebasis salva,
Mexico,Jalisco,Guadalajara,20.65048,-103.326994,Ischnura ramburii,
Mexico,Jalisco,Guadalajara,20.65048,-103.326994,Progomphus borealis,
Mexico,Jalisco,Guadalajara,20.65048,-103.326994,Phyllocycla elongata,
Mexico,Jalisco,Guadalajara,20.65048,-103.326994,Aphylla protracta,
Mexico,Jalisco,Guadalajara,20.65048,-103.326994,Phyllogomphoides pacificus,
Mexico,Jalisco,Guadalajara,20.65048,-103.326994,Erpetogomphus elaps,
Mexico,Jalisco,Guadalajara,20.65048,-103.326994,Erpetogomphus crotalinus,
Mexico,Jalisco,Guadalajara,20.65048,-103.326994,Erpetogomphus sipedon,
Mexico,Jalisco,Guadalajara,20.65048,-103.326994,Anax junius,
Mexico,Jalisco,Guadalajara,20.65048,-103.326994,Rhionaeschna cornigera,
Mexico,Jalisco,Guadalajara,20.65048,-103.326994,Remartinia luteipennis,
Mexico,Jalisco,Guadalajara,20.65048,-103.326994,Gynacantha nervosa,
Mexico,Jalisco,Guadalajara,20.65048,-103.326994,Plathemis subornata,
Mexico,Jalisco,Guadalajara,20.65048,-103.326994,Libellula saturata,
Mexico,Jalisco,Guadalajara,20.65048,-103.326994,Libellula nodisticta,
Mexico,Jalisco,Guadalajara,20.65048,-103.326994,Micrathyria didyma,
